ID,Phylum
SASV361,Firmicutes
SASV565,Firmicutes
SASV186,Firmicutes
SASV600,Firmicutes
SASV350,Firmicutes
SASV644,Firmicutes
SASV454,Firmicutes
SASV699,Firmicutes
SASV712,Firmicutes
SASV801,Firmicutes
SASV496,Firmicutes
SASV826,Firmicutes
SASV825,Firmicutes
SASV865,Firmicutes
SASV584,Firmicutes
SASV952,Firmicutes
SASV947,Firmicutes
SASV410,Firmicutes
SASV562,Firmicutes
SASV849,Firmicutes
SASV728,Firmicutes
SASV725,Firmicutes
SASV551,Firmicutes
SASV954,Firmicutes
SASV769,Firmicutes
SASV1454,Firmicutes
SASV1443,Firmicutes
SASV1432,Firmicutes
SASV1541,Firmicutes
SASV1529,Firmicutes
SASV1015,Firmicutes
SASV649,Firmicutes
SASV1675,Firmicutes
SASV1637,Firmicutes
SASV1658,Firmicutes
SASV1657,Firmicutes
SASV1677,Firmicutes
SASV1647,Firmicutes
SASV1806,Firmicutes
SASV1770,Firmicutes
SASV1783,Firmicutes
SASV1826,Firmicutes
SASV2001,Firmicutes
SASV2008,Firmicutes
SASV1999,Firmicutes
SASV1970,Firmicutes
SASV2013,Firmicutes
SASV1998,Firmicutes
SASV2183,Firmicutes
SASV2263,Firmicutes
SASV2238,Firmicutes
SASV2218,Firmicutes
SASV2298,Firmicutes
SASV2752,Firmicutes
SASV2605,Firmicutes
SASV2578,Firmicutes
SASV2764,Firmicutes
SASV2698,Firmicutes
SASV2637,Firmicutes
SASV2585,Firmicutes
SASV2693,Firmicutes
SASV2618,Firmicutes
SASV2711,Firmicutes
HASV19,Firmicutes
HASV29,Firmicutes
HASV73,Firmicutes
HASV84,Firmicutes
HASV3903,Firmicutes
HASV145,Firmicutes
HASV144,Firmicutes
HASV210,Firmicutes
HASV497,Firmicutes
HASV220,Firmicutes
HASV286,Firmicutes
HASV393,Firmicutes
HASV533,Firmicutes
HASV548,Firmicutes
HASV241,Firmicutes
HASV256,Firmicutes
HASV3953,Firmicutes
HASV283,Firmicutes
HASV525,Firmicutes
HASV276,Firmicutes
HASV5082,Firmicutes
HASV4116,Firmicutes
HASV364,Firmicutes
HASV919,Firmicutes
HASV3932,Firmicutes
HASV968,Firmicutes
HASV1270,Firmicutes
HASV476,Firmicutes
HASV4209,Firmicutes
HASV501,Firmicutes
HASV581,Firmicutes
HASV572,Firmicutes
HASV4826,Firmicutes
HASV962,Firmicutes
HASV1561,Firmicutes
HASV897,Firmicutes
HASV517,Firmicutes
HASV1224,Firmicutes
HASV475,Firmicutes
HASV984,Firmicutes
HASV1113,Firmicutes
HASV740,Firmicutes
HASV629,Firmicutes
HASV5372,Firmicutes
HASV660,Firmicutes
HASV1532,Firmicutes
HASV2169,Firmicutes
HASV994,Firmicutes
HASV1074,Firmicutes
HASV5135,Firmicutes
HASV5697,Firmicutes
HASV882,Firmicutes
HASV896,Firmicutes
HASV738,Firmicutes
HASV1494,Firmicutes
HASV5230,Firmicutes
HASV4119,Firmicutes
HASV5439,Firmicutes
HASV704,Firmicutes
HASV4910,Firmicutes
HASV5072,Firmicutes
HASV1232,Firmicutes
HASV4961,Firmicutes
HASV5069,Firmicutes
HASV6688,Firmicutes
HASV678,Firmicutes
HASV718,Firmicutes
HASV8366,Firmicutes
HASV1588,Firmicutes
HASV5217,Firmicutes
HASV5437,Firmicutes
HASV1514,Firmicutes
HASV3599,Firmicutes
HASV4305,Firmicutes
HASV4601,Firmicutes
HASV4717,Firmicutes
HASV5060,Firmicutes
HASV5065,Firmicutes
HASV5363,Firmicutes
HASV5497,Firmicutes
HASV5502,Firmicutes
HASV9517,Firmicutes
HASV1411,Firmicutes
HASV1746,Firmicutes
HASV4038,Firmicutes
HASV4834,Firmicutes
HASV5084,Firmicutes
HASV5286,Firmicutes
HASV1076,Firmicutes
HASV1278,Firmicutes
HASV1787,Firmicutes
HASV4336,Firmicutes
HASV4870,Firmicutes
HASV4935,Firmicutes
HASV5194,Firmicutes
HASV5220,Firmicutes
HASV5247,Firmicutes
HASV5624,Firmicutes
HASV5707,Firmicutes
HASV6501,Firmicutes
HASV1265,Firmicutes
HASV1517,Firmicutes
HASV1664,Firmicutes
HASV1931,Firmicutes
HASV4447,Firmicutes
HASV4825,Firmicutes
HASV5076,Firmicutes
HASV5270,Firmicutes
HASV5499,Firmicutes
HASV5719,Firmicutes
HASV5974,Firmicutes
HASV6051,Firmicutes
HASV7180,Firmicutes
HASV8037,Firmicutes
HASV8457,Firmicutes
HASV1011,Firmicutes
HASV1025,Firmicutes
HASV1274,Firmicutes
HASV1324,Firmicutes
HASV1595,Firmicutes
HASV1666,Firmicutes
HASV2079,Firmicutes
HASV2149,Firmicutes
HASV2789,Firmicutes
HASV4489,Firmicutes
HASV4803,Firmicutes
HASV4886,Firmicutes
HASV4942,Firmicutes
HASV4949,Firmicutes
HASV4952,Firmicutes
HASV4969,Firmicutes
HASV4970,Firmicutes
HASV5052,Firmicutes
HASV5077,Firmicutes
HASV5122,Firmicutes
HASV5126,Firmicutes
HASV5249,Firmicutes
HASV5617,Firmicutes
HASV5661,Firmicutes
HASV5711,Firmicutes
HASV7976,Firmicutes
HASV900,Firmicutes
HASV1048,Firmicutes
HASV1068,Firmicutes
HASV1123,Firmicutes
HASV1254,Firmicutes
HASV1309,Firmicutes
HASV2311,Firmicutes
HASV2540,Firmicutes
HASV2799,Firmicutes
HASV3252,Firmicutes
HASV4234,Firmicutes
HASV4816,Firmicutes
HASV4830,Firmicutes
HASV4835,Firmicutes
HASV4840,Firmicutes
HASV4874,Firmicutes
HASV4882,Firmicutes
HASV4889,Firmicutes
HASV4923,Firmicutes
HASV4963,Firmicutes
HASV4975,Firmicutes
HASV4996,Firmicutes
HASV4999,Firmicutes
HASV5007,Firmicutes
HASV5051,Firmicutes
HASV5055,Firmicutes
HASV5075,Firmicutes
HASV5182,Firmicutes
HASV5216,Firmicutes
HASV5226,Firmicutes
HASV5284,Firmicutes
HASV5290,Firmicutes
HASV5556,Firmicutes
HASV5585,Firmicutes
HASV5598,Firmicutes
HASV5619,Firmicutes
HASV5796,Firmicutes
HASV5866,Firmicutes
HASV6091,Firmicutes
HASV6375,Firmicutes
HASV6623,Firmicutes
HASV6879,Firmicutes
HASV7042,Firmicutes
HASV7157,Firmicutes
HASV7177,Firmicutes
HASV7656,Firmicutes
HASV7908,Firmicutes
HASV7928,Firmicutes
HASV8106,Firmicutes
HASV8432,Firmicutes
HASV8477,Firmicutes
HASV8480,Firmicutes
HASV9481,Firmicutes
HASV9592,Firmicutes
HASV1176,Firmicutes
HASV1317,Firmicutes
HASV1360,Firmicutes
HASV1437,Firmicutes
HASV1467,Firmicutes
HASV1653,Firmicutes
HASV1654,Firmicutes
HASV2093,Firmicutes
HASV2153,Firmicutes
HASV2196,Firmicutes
HASV2330,Firmicutes
HASV2673,Firmicutes
HASV3162,Firmicutes
HASV4146,Firmicutes
HASV4323,Firmicutes
HASV4436,Firmicutes
HASV4576,Firmicutes
HASV4739,Firmicutes
HASV4797,Firmicutes
HASV4829,Firmicutes
HASV4878,Firmicutes
HASV4912,Firmicutes
HASV4918,Firmicutes
HASV4919,Firmicutes
HASV4950,Firmicutes
HASV4951,Firmicutes
HASV5049,Firmicutes
HASV5054,Firmicutes
HASV5068,Firmicutes
HASV5083,Firmicutes
HASV5096,Firmicutes
HASV5116,Firmicutes
HASV5123,Firmicutes
HASV5144,Firmicutes
HASV5155,Firmicutes
HASV5161,Firmicutes
