ID,rrn ,ave,group
533,3.18,0.001300837,soybean
534,3.18,0.001092212,soybean
535,3.18,0.000920404,soybean
536,3.18,0.000834499,soybean
537,3.18,0.000613602,soybean
538,3.18,0.00060133,soybean
539,3.18,0.000564514,soybean
540,3.18,0.00041725,soybean
541,3.18,0.000331345,soybean
542,3.18,0.000319073,soybean
543,3.18,0.000282257,soybean
544,3.18,0.000233169,soybean
545,3.18,0.000220897,soybean
546,3.18,0.000184081,soybean
547,3.18,0.000184081,soybean
548,3.18,0.000184081,soybean
549,3.18,0.000184081,soybean
550,3.18,0.000171809,soybean
551,3.18,0.000171809,soybean
552,3.18,0.000159537,soybean
553,3.18,0.000147265,soybean
554,3.18,0.000147265,soybean
555,3.18,0.000134993,soybean
556,3.18,0.000110448,soybean
557,3.18,0.000110448,soybean
558,3.18,9.81764E-05,soybean
559,3.18,9.81764E-05,soybean
560,3.18,8.59043E-05,soybean
561,3.18,8.59043E-05,soybean
562,3.18,8.59043E-05,soybean
563,3.18,7.36323E-05,soybean
564,3.18,7.36323E-05,soybean
565,3.18,7.36323E-05,soybean
566,3.18,7.36323E-05,soybean
567,3.18,7.36323E-05,soybean
568,3.18,7.36323E-05,soybean
569,3.18,7.36323E-05,soybean
570,3.18,7.36323E-05,soybean
571,3.18,6.13602E-05,soybean
572,3.18,6.13602E-05,soybean
573,3.18,6.13602E-05,soybean
574,3.18,4.90882E-05,soybean
575,3.18,4.90882E-05,soybean
576,3.18,4.90882E-05,soybean
577,3.18,4.90882E-05,soybean
578,3.18,4.90882E-05,soybean
579,3.18,3.68161E-05,soybean
580,3.18,3.68161E-05,soybean
581,3.18,3.68161E-05,soybean
582,3.18,3.68161E-05,soybean
583,3.18,3.68161E-05,soybean
584,3.18,3.68161E-05,soybean
585,3.18,3.68161E-05,soybean
586,3.18,3.68161E-05,soybean
587,3.18,2.45441E-05,soybean
588,3.18,2.45441E-05,soybean
589,3.18,1.2272E-05,soybean
590,3.18,1.2272E-05,soybean
591,3.1,3.68161E-05,soybean
592,3.1,2.45441E-05,soybean
593,3.07,0.002883931,soybean
594,3.07,0.002208968,soybean
595,3.07,0.001043124,soybean
596,3.07,0.000920404,soybean
597,3.07,0.000576786,soybean
598,3.07,0.000355889,soybean
599,3.07,0.000233169,soybean
600,3.07,0.000147265,soybean
601,3.07,0.00012272,soybean
602,3.07,9.81764E-05,soybean
603,3.07,8.59043E-05,soybean
