#OTU ID,Y,Y20,Y20G,Y4,Y80,Y80G,taxonomy,rrn,rarity group
ASV_182,467,36,0,0,0,2,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae,#N/A,#N/A
ASV_183,12,430,0,0,7,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria,2.95,CRT
ASV_184,81,48,4,20,23,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,2.5,CRT
ASV_185,181,0,1,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,2.5,CRT
ASV_186,21,3,375,69,0,307,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,2,MT
ASV_187,210,0,0,14,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,2,MT
ASV_188,30,554,0,0,20,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria,2.5,CRT
ASV_189,276,4,3,101,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium,10.65,MT
ASV_19,631,2052,111,4,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter_sp._KNUC361,2.5,CRT
ASV_190,136,34,3,0,4,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,3.18,CRAT
ASV_191,35,165,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae,#N/A,#N/A
ASV_192,5,97,0,0,127,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter_sp._131MFCol6.1,#N/A,#N/A
ASV_193,2,41,0,0,198,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter,1.18,CRT
ASV_194,11,110,7,7,0,4,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,#N/A,#N/A
ASV_195,9,359,3,1,21,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria,#N/A,#N/A
ASV_196,585,61,0,11,0,0,k__Bacteria,#N/A,#N/A
ASV_197,190,83,0,7,5,14,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,5.95,CRT
ASV_198,1,0,35,3,0,181,k__Bacteria;p__Proteobacteria,2,MT
ASV_199,10,0,30,10,0,252,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planomicrobium,2,CRT
ASV_2,1,11,5319,656,2,18719,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Pantoea,5.01,CRT
ASV_20,151,659,73,281,1539,30,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,6,CRT
ASV_200,7,180,0,1,297,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,5.01,CRT
ASV_201,5,233,0,7,454,4,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,1.67,CRT
ASV_202,9,137,3,2,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas,#N/A,#N/A
ASV_203,15,0,39,2,0,235,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,10.65,MT
ASV_204,57,100,2,6,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus,2.67,CRT
ASV_205,325,2,3,2,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,10,CRT
ASV_206,7,67,0,76,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella,5,MT
ASV_207,144,2,0,14,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,2.95,CRT
ASV_208,214,3,2,39,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,2,CRT
ASV_209,0,200,0,0,49,0,k__Bacteria,#N/A,#N/A
ASV_21,88,749,53,224,1183,39,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium;s__Cellulosimicrobium_sp._W2,3.18,MT
ASV_210,0,193,0,0,30,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria,#N/A,#N/A
ASV_211,195,0,0,3,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,10.65,CRT
ASV_212,2,94,0,0,109,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,#N/A,#N/A
ASV_213,0,141,0,0,36,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,#N/A,#N/A
ASV_214,209,0,0,4,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,6.67,CRT
ASV_215,77,65,0,0,2,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter,2.95,MT
